-1269619923.exe	??? Backdoor.W32.Bionet ???
0.exe	??? Trojan.W32.MyTob ???
000stthk.exe	Toshiba Hotkey Configuration
004.exe	??? Trojan.W32.Randsom ???
005.exe	??? Trojan.W32.Randsom ???
006.exe	??? Trojan.W32.Randsom ???
007.exe	??? Trojan.W32.Randsom ???
007ssinstall.exe	007 Spy Software
008.exe	??? Trojan.W32.Randsom ???
009.exe	??? Trojan.W32.Randsom ???
00thotkey.exe	Toshiba Keyboard Helper
01dopewars_update.exe	??? Adware.W32.Cydoor ???
01logo.exe	??? Downloader.W32.Swizzor ???
1.exe	??? Trojan.W32.Tooso ???
1004270.exe	??? Download.Adware ???
1054571.exe	??? Downloader.W32.Intexp ???
123bar.exe	??? Spyware.W32.123bar ???
123dl.exe	??? Spyware.W32.123bar ???
123downloadsuk[1].exe	123Mania Hijacker
123hiddensender.exe	??? 123 Hidden Sender Spyware ???
12nail.exe	??? ABetterInternet Spyware ???
12popup.exe	12Ghosts Popup-Killer
13.exe	??? Backdoor.W32.Prorat ???
153.exe	??? Dialer.W32.153 ???
180.exe	??? 180SearchAssistant Spyware ???
180ax.exe	??? TROJ.ISTZONE.H Virus Trojan ???
180pack6480.exe	??? 180Solutions Spyware ???
180sa.exe	??? 180SearchAssistant Spyware ???
180sainstaller.exe	??? 180SearchAssistant Spyware ???
180sainstalleradperform.exe	180Solutions Zango
180sainstallernusac.exe	180SearchAssistant
180sainstallersca.exe	??? 180Solutions Spyware ???
180sainstallersilsais1.exe	??? 180SearchAssistant Spyware ???
180stuninstaller.exe	??? 180Solutions Spyware ???
1950.exe	??? Adware.W32.SpySheriff ???
1Password.exe	1Password Password Vault
1cv7.exe	Billing database software
1cv7s.exe	1C v7 Enterprise Software
1cv8.exe	1C v8 Enterprise Software
1xconfig.exe	SCM MicroSystems Helper
2.exe	??? Trojan.W32.Lineage ???
2.sfx.exe.exe	??? Trojan.W32.Lineage ???
2005.exe	??? Backdoor.W32.2005-exe ???
202_app13.exe	??? Adware.W32.PacerD ???
2GISTrayNotifier.exe	2GIS Tray Icon (Russian telecom mapping software)
2eq.exe	??? Downloader.W32.Swizzor ???
2portalmon.exe	2wSysTray
2search.exe	??? 2Search Spyware ???
3.exe	??? Downloader.W32.Agent ???
30.exe	??? 180Solutions Spyware ???
33.exe	??? Adware.W32.WinTools ???
34yf28fg.exe	??? 180Solutions Spyware ???
360Amigo.exe	360Amigo System Speedup
360RP.exe	!!! 360 Antivirus !!!
360RP.exe	!!! 360 Antivirus !!!
360SD.exe	!!! 360 Antivirus !!!
360Safe.exe	!!! 360_Safe !!!
360leakfixer.exe	!!! 360_Safe !!!
360rp.exe	!!! 360 Antivirus !!!
360rp.exe	!!! 360 Antivirus !!!
360safe.exe	!!! 360_Safe !!!
360sd.exe	!!! 360 Antivirus !!!
360tray.exe	!!! 360_Safe !!!
38.exe	75175 Port Changer Port Changer
3capplnk.exe	3capplnk
3cdminic.exe	3cdminic
3cmcnkw.exe	??? Unknown ???
3cmlnkw.exe	3cmlnkw
3dClip.exe	3D Clipboard
3deepctl.exe	3Deep e-colour
3dfxman.exe	??? Unknown ???
3dldemon.exe	3DLabsHelperDemon
3dlman.exe	3Dlabs Taskbar Display Manager
3dm2.exe	3DM 2 Web Interface
3dxsrv.exe	3DxWare Driver
3p_1.exe	??? Spyware.W32.DyFuCA ???
44088711.exe	??? Adware.W32.VirtualBouncer ???
470760544.jpg.exe	??? Backdoor.W32.AimBot ???
4C0F.tmp	??? W32/Sdbot.worm.gen.y ???
4C0F.tmp	??? W32/Sdbot.worm.gen.y ???
50cent.exe	??? Backdoor.W32.Rbot ???
5mrtg.exe	MRTG Launcher
6010RMT.exe	TV Card Remote Control Device Monitor
63mm.exe	??? Adware.W32.DelFin ???
666.exe	??? Trojan.W32.MyTob ???
713962.exe	??? Adware.W32.ESyndicate ???
74BE16.EXE	??? W32/Autorun.worm.ev ???
7WAY.EXE	7Way Email Checker
7a3ce975.exe	??? Trojan.W32.AIMVision ???
7i24IISMonitor.exe	IIS Monitor
7nail.exe	??? ABetterInternet Spyware ???
7uqj7z9a.exe	??? Adtomi Spyware ???
7z.exe	7zip
7za.exe	7zip
8169DIAG.exe	Realtek Diagnostics Utility
8nail.exe	??? ABetterInternet Spyware ???
959AC.com	??? W32/Sality.y - malware ???
AASUpdates.exe	Alfa Active Services
ACAAS.exe	!!! AhnLab !!!
ACAEGMgr.exe	!!! AhnLab !!!
ACAIS.exe	!!! AhnLab !!!
ACDSee11.exe	ACDSee 11.0
ACDSee32.exe	ACDSee Image Management Software
ACS.exe	??? Unknown ???
ACSPostUnitSrv.exe	Access Supervisory Controller
ACS_ACSC_Logmaint.exe	AP/ACS Switch Control
